produto,categoria,temp_min_suportada,temp_max_suportada,temp_ideal_min,temp_ideal_max,agua_necessaria_min,agua_necessaria_max,frequencia_irrigacao,clima_ideal,luz_solar_h_dia,chuva_ideal_min,chuva_ideal_max,vel_vento_max,umidade_ideal_min,umidade_ideal_max,nebulosidade_ideal,uv_ideal_min,uv_ideal_max,tempo_cultivo_min,tempo_cultivo_max,tempo_cultivo_unidade,solo_ideal,irrigacao_tipo_especial
Cana-de-açúcar,Principais,15,40,21.0,27.0,1200.0,2000.0,Semanal (estação seca),Tropical/Subtropical,8,1200.0,1800.0,40,70.0,80.0,Baixa a moderada,8.0,12.0,12.0,18.0,meses,"Argiloso ou Franco-argiloso, bem drenado",
Soja,Principais,10,38,20.0,30.0,450.0,800.0,Quinzenal (crítico floração),Subtropical/Tropical,10,450.0,700.0,50,60.0,70.0,Moderada,8.0,12.0,90.0,130.0,dias,"Latossolo bem drenado, pH 5,8–6,5",
Milho,Principais,8,38,18.0,25.0,500.0,800.0,Semanal (estação seca),Tropical/Subtropical,8,500.0,800.0,50,50.0,75.0,Moderada,6.0,12.0,90.0,120.0,dias,"Franco, bem drenado, pH 5,5–7,0",
Mandioca,Principais,10,40,25.0,29.0,600.0,1500.0,Quinzenal,Tropical,6,800.0,1500.0,60,50.0,80.0,Moderada,6.0,12.0,8.0,18.0,meses,"Arenoso-argiloso, pH 5,5–7,0",
Laranja,Principais,4,40,23.0,30.0,900.0,1200.0,Semanal–Quinzenal,Subtropical/Tropical,8,900.0,1200.0,40,50.0,80.0,Moderada,6.0,10.0,7.0,8.0,meses,"Franco-argiloso, profundo, pH 5,5–7,0",
Arroz,Cereais e Grãos,10,40,20.0,37.0,800.0,1200.0,Contínua (inundado) / Semanal,Tropical,8,1000.0,1600.0,40,70.0,90.0,Moderada a alta,8.0,12.0,100.0,150.0,dias,"Argiloso, impermeável ou inundável",
Feijão,Cereais e Grãos,8,35,18.0,24.0,300.0,500.0,Semanal–Quinzenal,Tropical/Subtropical,8,300.0,500.0,40,60.0,75.0,Baixa a moderada,6.0,10.0,60.0,90.0,dias,"Franco, bem drenado, pH 5,8–6,5",
Trigo,Cereais e Grãos,-5,32,10.0,22.0,450.0,700.0,Quinzenal,Subtropical/Temperado,7,400.0,600.0,50,55.0,70.0,Moderada,4.0,8.0,100.0,130.0,dias,"Argiloso a Franco-argiloso, pH 6,0–7,5",
Sorgo,Cereais e Grãos,7,42,25.0,32.0,300.0,600.0,Quinzenal–Mensal,Tropical/Semiárido,9,400.0,600.0,50,40.0,60.0,Baixa,8.0,12.0,90.0,120.0,dias,"Franco a arenoso, pH 5,5–7,5",
Algodão,Cereais e Grãos,15,40,21.0,30.0,700.0,1300.0,Quinzenal,Tropical/Subtropical,8,700.0,1000.0,40,50.0,70.0,Baixa,8.0,12.0,150.0,180.0,dias,"Franco-argiloso, bem drenado, pH 6,0–7,0",
